Posting No.,Document No.,Posting Date,Customer No.,Customer Name,Ship-to Name,Division Code,No.,Description,Packing Size,Qty. per Unit of Measure,UOM,Quantity,Quantity (Base)
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZASAF50GM,ASAFOETIDA POWDER - HING (L),400 X 50GM,1,BTL,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZBGF1KG,"BESAN GRAM FLOUR CHICK PEAS / CHANA DAL FLOUR""""",10 x 1KG,1,PKT,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZRF600GM,ELEPHANT BALL RICE FLOUR,16 X 600GM,1,PKT,3,3
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,SAPUFCM1LTR,SAPORITO UHT MILK - 3.5% FAT with CAP,12 X 1LTR,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,DZDSHM500GM,YOWE DRIED SHRIMPS - GELAGOR,15 x 500GM,1,PKT,2,2
BCMINV-220500409,BCMSO-026986,5/24/2022,C-004746,LAVENDER CONFECTIONERY & BAKERY PTE LTD,LAVENDER CONFECTIONERY & BAKERY PTE LTD,BAKERY,ZZBFCLD3LTR,BEST FOOD COLESLAW DRESSING,4 X 3LTR,1,TUB,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,DZDSHM500GM,YOWE DRIED SHRIMPS - GELAGOR,15 x 500GM,1,PKT,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZFSH1KG,YOKEE FRIED ONION,10 x 1KG,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZSTP500GM,"SOTO POWDER MALABAR""""",10 X 500GM,1,PKT,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZBB500GM,"PRESERVED SALTED BLACK BEAN ""Xian Xiang Shi""""",24 x 500GM ,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZSBP3KG,SALTED SOYA BEAN WHOLE,4 x 3KG,1,PKT,1,1
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,DBWMS7500GM,DOBELE WHOLEMEAL SPAGHETTI NO.7,24 X 500GM,1,PKT,24,24
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,ZZKNCSBL480GM,KNORR CONCENTRATED SCALLOP BOULLION,12 X 480GM,1,BTL,12,12
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,ZZKAPHPS6KG,"KOREAN ALL PURPOSE HOT PEPPER SAUCE ""GoChuJang sauce""",3 x 6KG,1,TUB,1,1
BCMINV-220500448,BCMSO-027024,5/25/2022,C-004097,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,CATERER/MFR,ZZMGCCS1200GM,MAGGI CONCENTRATED CHICKEN STOCK ,6 X 1.2KG,1,BTL,4,4
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZCHP250GM,BABAS CHILLI POWDER,40 X 250GM,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZUDS1KG,"URID DHALL WHITE"" -  SPLIT""",20 X 1KG ,1,KG,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZSCPF1KG,"SALTED CHYE POH ""FINED""",24 x 1KG,1,PKT,1,1
BCMINV-220500409,BCMSO-026986,5/24/2022,C-004746,LAVENDER CONFECTIONERY & BAKERY PTE LTD,LAVENDER CONFECTIONERY & BAKERY PTE LTD,BAKERY,SPTCIO1880GM,SAPORITO TUNA CHUNK IN SOYA BEAN OIL,6 X 1.80KG,6,CTN,3,18
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZNFBL3400ML,YOWELL BLEACH,4 X 3.8LTR,1,TUB,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZNFDWL5LTR,YOWELL DISH WASHING LIQUID,4 x 5LTR,1,BTL,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,DZRCD500GM,YOWE RED CHILLI DRIED WITHOUT STEM,9 X 500GM,1,PKT,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,MGMP3KG,MAGGI MASHED POTATO COMPLETE MIX ,6 X 2.5KG,1,TIN,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,FMSPAG500GM,SAPORITO SPAGHETTI 03,24 X 500GM,1,PKT,10,10
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZTWS1KG,"TAMARIND ""ASAM"" PASTE W SEED",24 x 1KG,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,DZCORP500GM,CORIANDER POWDER,25 X 500GM,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZBFCLD3LTR,BEST FOOD COLESLAW DRESSING,4 X 3LTR,1,TUB,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,YWBRPUP1KG,YOWE RAW PEANUTS UNPEELED,20 x 1KG,1,PKT,2,2
BCMINV-220500442,BCMSO-027018,5/24/2022,C-000797,FOODEDGE GOURMET PTE LTD,Foodedge Gourmet Pte Ltd,CATERER/MFR,ZZBSH2250GM,KOREAN BBQ SAUCE (BULGOGI SAUCE),6 X 2.25KG,1,TIN,24,24
BCMINV-220500443,BCMSO-027019,5/24/2022,C-001327,KATONG CATERING,KATONG CATERING,CATERER/MFR,FMFUS500GM,SAPORITO FUSILLI,24 X 500GM,24,CTN,2,48
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,PREGGNF200GM,YOWE EGG NOODLE,30 X 200GM,1,PKT,30,30
BCMINV-220500372,BCMSO-026947,5/24/2022,C-000287,BHF PTE LTD,BAKER'S HEAVEN,BAKERY,SAPUFCM1LTR,SAPORITO UHT MILK - 3.5% FAT with CAP,12 X 1LTR,12,CTN,20,240
BCMINV-220500393,BCMSO-026968,5/24/2022,C-002142,RED GUM PTE LTD,RED GUM PTE LTD,CATERER/MFR,SAPUFCM1LTR,SAPORITO UHT MILK - 3.5% FAT with CAP (10ctns),12 X 1LTR,1,PKT,120,120
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZSP250GM,LKK FINE SHRIMP SAUCE,12 X 227GM,1,BTL,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZCS400GM,YOWE CORN STARCH /  FLOUR,40 X 400GM,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,DZYSP1KG,YOWE YELLOW SPLIT PEAS - CHANA DAL,20 x 1KG,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,DZMDS1KG,MOONG DHALL SPLIT - SPLIT GREEN BEAN PEELED,20 x 1KG,1,PKT,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZGN250GM,YOWE GLASS NOODLES - TANG HOON,20 X 250GM,1,PKT,2,2
BCMINV-220500409,BCMSO-026986,5/24/2022,C-004746,LAVENDER CONFECTIONERY & BAKERY PTE LTD,LAVENDER CONFECTIONERY & BAKERY PTE LTD,BAKERY,ZZBF500GM,BONITO FLAKE - KATSUOBUSHI,5 x 500GM,1,PKT,4,4
BCMINV-220500409,BCMSO-026986,5/24/2022,C-004746,LAVENDER CONFECTIONERY & BAKERY PTE LTD,LAVENDER CONFECTIONERY & BAKERY PTE LTD,BAKERY,ZZCMCB408GM,CARNATION MILK FOR COOKING AND BAKERY,48 X 405GM,1,TIN,6,6
BCMINV-220500409,BCMSO-026986,5/24/2022,C-004746,LAVENDER CONFECTIONERY & BAKERY PTE LTD,LAVENDER CONFECTIONERY & BAKERY PTE LTD,BAKERY,ZZDBS500GM,"DARK BROWN SUGAR ""BLACK""",40 x 500GM ,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZCP3KG,HAI'S CHILLI PASTE,2 x 3KG,1,PKT,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZPC1KG,"GROUNDED ""PEANUT CRUSHED"" YS-14",10 X 1KG,1,PKT,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZWWF1KG,YOWE WHEAT WHITE PLAIN FLOUR,20 x 1KG,1,PKT,4,4
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZB6A500GM,"SHRIMP PASTE - BALACAN ""6A""",30 X 500GM,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZFNS1KG,YOWE FENNEL SEED,15 X 1KG,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZGNK400GM,"GLORY NYOYA KAYA ""REGULAR COCONUT JAM""",24 X 400GM,1,BTL,6,6
BCMINV-220500394,BCMSO-026969,5/24/2022,C-004890,MONDE NISSIN SINGAPORE PTE LTD,MONDE NISSIN SINGAPORE PTE LTD,CATERER/MFR,SPTP2200GM,SAPORITO TOMATO PASTE 22/24%,6 X 2.2KG,6,CTN,20,120
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZCUP250GM,BABAS CUMIN POWDER,40 X 250GM,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,LTYLTB100ECS2G,"LIPTON YELLOW LABEL TEABAGS ""Halal""",36 X 100'S X 2GM,1,BOX,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZSMAS250GM,BABAS SAMBAR MIX,40 X 250GM,1,PKT,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZNFDWL5LTR,YOWELL DISH WASHING LIQUID,4 x 5LTR,1,BTL,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZMGINCRY85GM,"MAGGI CURRY INSTANT NOODLE ""pkt of 5's""",12Pkt X 5S X 79GM,1,PKT,2,2
BCMINV-220500400,BCMSO-026975,5/24/2022,C-000252,BARCOOK BAKERY PTE LTD,BARCOOK BAKERY PTE LTD,BAKERY,YWMS2840GM,YOWE MUSHROOM PIECES & STEMS,6 X 2.84KG,1,TIN,18,18
BCMINV-220500409,BCMSO-026986,5/24/2022,C-004746,LAVENDER CONFECTIONERY & BAKERY PTE LTD,LAVENDER CONFECTIONERY & BAKERY PTE LTD,BAKERY,ZZNFOCNSCS450GM,OIL CANOLA NON STICK COOKING  SPRAY ,12 X 450GM,1,TIN,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,TPFS700ML,TIPAROS FISH SAUCE,12 X 700ML,1,BTL,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,DZDGB1KG,YOWE GREEN BEANS - MOONG BEAN,20 x 1KG,1,PKT,2,2
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZVTPSS1KG,VE-TSIN MSG SAN SHUI,25 X 1KG,1,PKT,3,3
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,SPTP2200GM,SAPORITO TOMATO PASTE 22/24%,6 X 2.2KG,1,TIN,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,SAPUFCM1LTR,SAPORITO UHT MILK - 3.5% FAT with CAP,12 X 1LTR,1,PKT,5,5
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZPTMGR2750GM,PLANTA MARGARINE,6 X 2.75KG,1,TIN,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZPSF2KG,YOWE POTATO STARCH / FLOUR,12 x 2KG ,1,PKT,3,3
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,DZDRB1KG,YOWE RED BEAN DRIED,25 x 1KG,1,PKT,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZHGCMP1LTR,HENG GUAN UHT COCONUT CREAM - packet,12 x 1LTR,1,PKT,4,4
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZCRDP250GM,BABAS CORIANDER POWDER,40 X 250GM,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZPPDM120GM,"PAPADAM ""MALIKA""",100 X 120GM,1,PKT,4,4
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZTWS1KG,"TAMARIND ""ASAM"" PASTE W SEED",24 x 1KG,1,PKT,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZTP250GM,BABAS TURMERIC POWDER,40 X 250GM,1,PKT,1,1
BCMINV-220500400,BCMSO-026975,5/24/2022,C-000252,BARCOOK BAKERY PTE LTD,BARCOOK BAKERY PTE LTD,BAKERY,SPTCIO1880GM,SAPORITO TUNA CHUNK IN SOYA BEAN OIL,6 X 1.80KG,6,CTN,1,6
BCMINV-220500409,BCMSO-026986,5/24/2022,C-004746,LAVENDER CONFECTIONERY & BAKERY PTE LTD,LAVENDER CONFECTIONERY & BAKERY PTE LTD,BAKERY,EMAPRJ450GM,SAPORITO APRICOT JAM,12 X 450GM,1,BTL,5,5
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZKNCFS1KG,KNORR CHICKEN FLAVOURED SEASONING - PKT,6 X 1KG,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZFMTF500GM,FLYING MAN TAPIOCA FLOUR,50 X 500GM,1,PKT,6,6
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,SPBBTS425GM,SAPORITO BAKED BEANS IN TOMATO SAUCE,24 X 425GM,1,TIN,3,3
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZCRWS500GM,TERIGU SEEDS,6 x 10 x 400GM,1,PKT,1,1
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,EMNPS25KG,EMSLAND POTATO STARCH,25KG / BAG,1,BAG,1,1
BCMINV-220500448,BCMSO-027024,5/25/2022,C-004097,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,CATERER/MFR,ZZGMP500GM,GARAM MASALA - PATTU,12 x 500GM,1,PKT,4,4
BCMINV-220500448,BCMSO-027024,5/25/2022,C-004097,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,CATERER/MFR,ZZBCP1KG,BABAS CORIANDER POWDER,10 x 1KG,1,PKT,2,2
BCMINV-220500451,BCMSO-027027,5/24/2022,C-001220,ISS CATERING SERVICES PTE LTD - THOMSON MED CTR,ISS CATERING SERVICES PTE LTD - THOMSON MED CTR,CATERER/MFR,AGBBQS18OZ,SAPORITO BBQ SAUCE,12 X 500ml,1,BTL,1,1
BCMINV-220500451,BCMSO-027027,5/24/2022,C-001220,ISS CATERING SERVICES PTE LTD - THOMSON MED CTR,ISS CATERING SERVICES PTE LTD - THOMSON MED CTR,CATERER/MFR,ZZPPF1KG,REDMAN PLAIN FLOUR,10 X 1KG,1,PKT,5,5
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZVTPSS1KG,VE-TSIN MSG SAN SHUI,25 X 1KG,1,PKT,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,NNPLFL900GM,DR OETKER NONA PLAIN FLOUR ,24 X 900GM,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZPG400GM,"PURE GHEE LEILA""""",24 X 400GM,1,TIN,1,1
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZBRSP125GM,BABAS RASAM POWDER,80 x 125GM,1,PKT,2,2
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,SPSARIT425GM,SAPORITO/ZZ SARDINE IN TOMATO SAUCE,24 X 425GM,1,BTL,4,4
BCMINV-220500399,BCMSO-026974,5/24/2022,C-005192,ISS CATERING SERVICES  PTE LTD - MJ,ISS CATERING SERVICES  PTE LTD - MJ,CATERER/MFR,ZZWSS6GM,SIS WHITE SUGAR STICK,24 x 100's x 4gm,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZRF600GM,ELEPHANT BALL RICE FLOUR,16 X 600GM,1,PKT,8,8
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZCS3KG,YOWE COOKING SALT,5 X 3KG,1,PKT,1,1
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,WNTCIB185GM,SAPORITO TUNA CHUNK IN BRINE,48 X 150GM,1,TIN,6,6
BCMINV-220500410,BCMSO-026987,5/24/2022,C-2007034,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,ISS CATERING SERVICES PTE LTD - GIV WOODLANDS,CATERER/MFR,ZZDAS1KG,DRIED ANCHOVIES ikan bilis - whole with head (1-2cm),20 x 1KG ,1,PKT,1,1
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,FMFUS500GM,SAPORITO FUSILLI,24 X 500GM,1,PKT,48,48
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,MGCS3300GM,MAGGI CHILLI SAUCE,6 X 3.3KG,1,TIN,6,6
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,ZZKNCCBL1KG,KNORR CONCENTRATED CHICKEN STOCK,6 X 1KG,1,TUB,6,6
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,ZZLNIS430GM,LOTUS NUTS IN HEAVY SYRUP,48 X 480GM,1,TIN,48,48
BCMINV-220500445,BCMSO-027020,5/24/2022,C-001540,MANNA POT CATERING PTE LTD,MANNA POT CATERING PTE LTD (B4 3PM),CATERER/MFR,ZZKNPRTS2KG,KNORR PRONTO TOMATO SAUCE ,6 X 2KG,6,CTN,2,12
BCMINV-220500448,BCMSO-027024,5/25/2022,C-004097,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,CATERER/MFR,ZZKHGDA1KG,DRIED ANCHOVIES ikan bilis-Peeled W/O head (Good Grade) 3-4cm,10 x 1KG ,1,PKT,2,2
BCMINV-220500448,BCMSO-027024,5/25/2022,C-004097,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,CATERER/MFR,ZZTK4LTR,TOMATO KETCHUP,5 x 4LTR,1,TUB,5,5
BCMINV-220500448,BCMSO-027024,5/25/2022,C-004097,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,LAGUN SARI WEDDING & CATERINE SERVICES PTE LTD,CATERER/MFR,ZZCUP250GM,BABAS CUMIN POWDER,40 X 250GM,1,PKT,4,4
